name,film,boxoffice
James Cameron,7.0,5883569439.0
Gore Verbinski,7.0,3177013357.0
Sam Mendes,7.0,2713548809.0
Christopher Nolan,8.0,4227483234.0
Andrew Stanton,4.0,2109045355.0
Sam Raimi,11.0,3154404440.0
Byron Howard,2.0,901774930.0
Nathan Greno,1.0,591794936.0
Joss Whedon,3.0,2963831068.0
David Yates,3.0,2228914996.0
Zack Snyder,7.0,2476197387.0
Bryan Singer,8.0,2808235001.0
Marc Forster,8.0,1409088945.0
Andrew Adamson,5.0,2606859447.0
Rob Marshall,5.0,1781461383.0
Barry Sonnenfeld,7.0,2192438737.0
Peter Jackson,9.0,6498642820.0
Marc Webb,3.0,1518656023.0
Ridley Scott,16.0,3189557997.0
Chris Weitz,6.0,1519491084.0
Anthony Russo,4.0,1998502436.0
Joe Russo,4.0,1998502436.0
Peter Berg,6.0,1253823919.0
Colin Trevorrow,2.0,1517536602.0
Shane Black,2.0,1231225142.0
Tim Burton,14.0,3337418241.0
Brett Ratner,10.0,1764021298.0
Dan Scanlon,1.0,743559607.0
Michael Bay,12.0,5832524638.0
Joseph Kosinski,2.0,686231335.0
John Lasseter,5.0,2256015306.0
Brad Lewis,1.0,559852396.0
Martin Campbell,8.0,1854344953.0
Lee Unkrich,1.0,1066969703.0
McG,6.0,1147752254.0
James Wan,7.0,2524234105.0
J.J. Abrams,4.0,1510991691.0
Baz Luhrmann,4.0,727106616.0
Mike Newell,7.0,1532480454.0
Guillermo del Toro,5.0,905578214.0
Steven Spielberg,27.0,9147393164.0
Peter Sohn,1.0,331926147.0
Brenda Chapman,2.0,757596395.0
Mark Andrews,1.0,538983207.0
Steve Purcell,1.0,538983207.0
Justin Lin,5.0,1131887010.0
Roland Emmerich,8.0,2956821040.0
Robert Zemeckis,13.0,3590622002.0
Lilly Wachowski,7.0,2042532969.0
Lana Wachowski,7.0,2042532969.0
Pete Docter,3.0,2155526512.0
Conrad Vernon,4.0,2189022519.0
Rob Letterman,4.0,1144330401.0
Jon Favreau,6.0,2418854232.0
Martin Scorsese,21.0,1956636002.0
Rob Cohen,9.0,1355060000.0
David Ayer,6.0,1093989715.0
Tom Shadyac,7.0,1329174878.0
Doug Liman,7.0,1342160652.0
Kevin Reynolds,5.0,776481814.0
Stephen Sommers,4.0,746685318.0
Rupert Sanders,1.0,396600000.0
Robert Stromberg,1.0,758539785.0
Matt Reeves,4.0,905554206.0
Roland Joffé,3.0,10382409.0
Carl Rinsch,1.0,150962475.0
Mike Mitchell,4.0,1247201184.0
Brad Bird,5.0,2182191917.0
Chris Williams,2.0,962085437.0
Don Hall,2.0,666565443.0
Rich Moore,1.0,471222889.0
Chris Sanders,3.0,1225829214.0
Dean DeBlois,3.0,1249773334.0
Jonathan Mostow,4.0,735270331.0
James Gunn,4.0,806091756.0
Hideaki Anno,1.0,77000000.0
Shinji Higuchi,1.0,77000000.0
David Fincher,10.0,2139346325.0
Matthew Vaughn,4.0,597223267.0
Francis Lawrence,5.0,2952457182.0
Jon Turteltaub,7.0,1073738870.0
Wolfgang Petersen,7.0,1615016083.0
James Bobin,3.0,544937611.0
Chris Miller,2.0,1353945642.0
Raman Hui,1.0,798958165.0
Duncan Jones,3.0,590769984.0
Alan Taylor,2.0,1085174939.0
Michael Apted,6.0,913882718.0
Oliver Stone,14.0,1278048616.0
Jan Pinkava,1.0,623722818.0
Eric Darnell,5.0,2428812256.0
Tom McGrath,4.0,2205389507.0
Shawn Levy,11.0,2218745914.0
Gavin Hood,4.0,533228696.0
Chris Buck,2.0,1423263522.0
Jennifer Lee,1.0,1274219009.0
George Miller,8.0,1173014244.0
Ron Howard,13.0,2885690548.0
Kenneth Branagh,7.0,1043390082.0
Hoyt Yeatman,1.0,292817841.0
Jonathan Liebesman,5.0,1079919698.0
Christopher McQuarrie,3.0,919796135.0
Joe Johnston,4.0,847593822.0
Steve Hickner,2.0,506207765.0
Simon J. Smith,2.0,661146671.0
Jennifer Yuh Nelson,2.0,1186863106.0
M. Night Shyamalan,9.0,2452354930.0
Simon Wells,3.0,381335122.0
David Bowers,4.0,258079953.0
Sam Fell,3.0,222475860.0
Joe Wright,6.0,543233714.0
Rob Minkoff,6.0,1841443269.0
Lee Tamahori,5.0,657264116.0
Paul Feig,4.0,676205213.0
Alessandro Carloni,1.0,521170825.0
Peter Ramsey,1.0,306941670.0
Dean Parisot,4.0,303301419.0
Edward Zwick,7.0,1135457883.0
Alex Proyas,5.0,774562458.0
Richard Donner,11.0,1304160471.0
Ang Lee,8.0,1389619700.0
Jon M. Chu,5.0,1115328078.0
Breck Eisner,3.0,321162536.0
Hironobu Sakaguchi,1.0,85131830.0
Motonori Sakakibara,1.0,85131830.0
Peter Weir,4.0,780696421.0
Bill Condon,5.0,998944317.0
Louis Leterrier,6.0,694091791.0
Alejandro González Iñárritu,6.0,877979871.0
David Soren,1.0,282570682.0
Paul Greengrass,7.0,1413751482.0
Mark Osborne,2.0,729315810.0
John Stevenson,1.0,631744560.0
Peyton Reed,4.0,1040752558.0
Tim Johnson,4.0,910314437.0
Phillip Noyce,9.0,1055771882.0
Darren Aronofsky,6.0,761061349.0
Alfonso Cuarón,5.0,1614631069.0
Ralph Zondag,1.0,354248063.0
Eric Leighton,1.0,354248063.0
Chris Columbus,11.0,3794204635.0
Robert Schwentke,6.0,932415622.0
Carlos Saldanha,5.0,2793148786.0
Guy Ritchie,7.0,1080581889.0
Paul Verhoeven,5.0,619289575.0
John McTiernan,10.0,1170400302.0
Tony Gilroy,3.0,429564773.0
Joel Schumacher,13.0,1437036597.0
John Woo,7.0,1244047085.0
Tim Story,7.0,817618911.0
Mark Steven Johnson,2.0,246991808.0
Neill Blomkamp,3.0,601359859.0
David Twohy,4.0,290150325.0
José Padilha,2.0,256756043.0
James L. Brooks,3.0,417888285.0
James Mangold,8.0,1144966979.0
George Lucas,5.0,3339113893.0
Kirk De Micco,2.0,648979273.0
Thomas Langmann,1.0,132900000.0
Frédéric Forestier,1.0,132900000.0
Cedric Nicolas-Troyan,1.0,164602163.0
Roger Donaldson,7.0,450358676.0
Dave Green,2.0,290923848.0
Josh Trank,2.0,312977596.0
Brad Peyton,3.0,938667356.0
Roger Spottiswoode,4.0,436496546.0
Steven Soderbergh,15.0,2114864444.0
Michel Gondry,4.0,311793970.0
Noam Murro,1.0,337580051.0
Raja Gosnell,6.0,1691542081.0
Will Finn,1.0,103951461.0
John Sanford,1.0,103951461.0
Jan de Bont,5.0,1257122028.0
Len Wiseman,3.0,590580722.0
Frank Coraci,7.0,862299382.0
Michael Mann,6.0,673131444.0
Bo Welch,1.0,133960.0
Ron Clements,3.0,880674099.0
John Musker,3.0,880674099.0
Peter Chelsom,5.0,413562335.0
Dominic Sena,3.0,396488740.0
Tony Scott,12.0,1867920739.0
Paul Weitz,8.0,863610448.0
Adam McKay,6.0,859076455.0
Chuck Russell,6.0,804005373.0
Quentin Tarantino,10.0,1530968694.0
Gary Trousdale,2.0,286192576.0
Kirk Wise,2.0,286192576.0
Mark Dindal,3.0,487326989.0
Simon West,8.0,1087881164.0
Stefen Fangmeier,1.0,249288105.0
Spike Jonze,4.0,203102813.0
Chris Wedge,3.0,912380764.0
